Cluster,fake_identificacion,Periodo,Region,Zona,Centro,Periodo Admision,Ciclo Academico,Tipo de Programa,Estatus del Curso,Porcentaje de beca,Porcentaje desencuento matricula,Monto descuento automatico,Edad,Sexo,Discapacidad,Porcentaje de discapacidades,Número discapacidades,Metodología de la invest y tec(Bim1),Computación y sociedad(Bim1),Fundamentos de tecnologias(Bim1),Algoritmos y resolución de pro(Bim1),Humanismo universidad y cultu(Bim1),Fundamentos matematicos(Bim1),Metodología de la invest y tec(Bim2),Computación y sociedad(Bim2),Fundamentos de tecnologias(Bim2),Algoritmos y resolución de pro(Bim2),Humanismo universidad y cultu(Bim2),Fundamentos matematicos(Bim2),Metodología de la invest y tec(aaBim1),Computación y sociedad(aaBim1),Fundamentos de tecnologias(aaBim1),Algoritmos y resolución de pro(aaBim1),Humanismo universidad y cultu(aaBim1),Fundamentos matematicos(aaBim1),Metodología de la invest y tec(aaBim2),Computación y sociedad(aaBim2),Fundamentos de tecnologias(aaBim2),Algoritmos y resolución de pro(aaBim2),Humanismo universidad y cultu(aaBim2),Fundamentos matematicos(aaBim2),Metodología de la invest y tec(acdBim1),Computación y sociedad(acdBim1),Fundamentos de tecnologias(acdBim1),Algoritmos y resolucion de pro(acdBim1),Humanismo universidad y cultu(acdBim1),Fundamentos matematicos(acdBim1),Computación y sociedad(acdBim2),Fundamentos de tecnologias(acdBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(acdBim2),Fundamentos matematicos(acdBim2),Metodología de la invest y tec(apeBim1),Computación y sociedad(apeBim1),Fundamentos de tecnologias(apeBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(apeBim1),Fundamentos matematicos(apeBim1),Computación y sociedad(apeBim2),Algoritmos y resolución de pro(apeBim2),Componente_1,Componente_2,porcentaje_de_beca
Incierto,VOIC55957183541537,202264,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202062,2,CONTINUO,CURSOS INSCRITOS,60,20,160.71,20,HOMBRE,NO,0,0,8.56,9.69,-1,-1,-1,-1,8.94,9.38,-1,-1,-1,-1,2.06,3.19,2.57,2.96,2.69,3.11,2.44,2.88,0.93,0.9,1,0.9,3.5,3.5,-1,-1,-1,-1,3.5,-1,-1,-1,-1,3,3,3.13,3.5,3.5,3.33,3,-1,1.0047585419776253,1.6701585501736886,202062
Regular,GWAN05502370953149,202164,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,10,20,185.5,35,HOMBRE,NO,0,0,7.26,9.06,9.01,6.75,9.34,8.93,2.5,2.35,5.97,2.2,7.25,3.58,2.66,3.04,2.51,3.1,2.84,3.08,0.8,0.85,0.97,0.8,1,0.71,3.1,3.2,3.5,2.75,3.5,3.33,0,2,0,3.45,0,1.5,2.82,3,0.9,3,2.52,1.5,1.4,-0.367578736,-0.247911336,202062
Regular,BFAC98988978486152,202262,CUENCA,SIERRA-SUR,MACHALA,202062,3,CONTINUO,CURSOS INSCRITOS,10,20,154.23,23,HOMBRE,NO,0,0,7.59,8.88,8.77,8.54,8.55,8.57,2.75,1.44,7.33,4.43,5.61,5.5,-1,2.91,2.9,2.54,2.35,-1,-1,-1,-1,-1,-1,-1,3.15,3.35,3.5,3.5,3.3,3.24,0,3.5,3.5,1.6,1.75,2.25,2.62,-1,2.5,-1,2.46,-1,-1,0.085782481,-1.020277629,202062
Regular,UEQD49367223764423,202162,CUENCA,SIERRA-SUR,CUENCA,202062,1,NUEVO,CURSOS INSCRITOS,100,20,0,20,MUJER,NO,0,0,6.19,6.19,5.3,2.67,7.1,4.65,0.83,1.16,2.13,0,0.5,0,0.5,0.8,0.6,0.87,0.75,0.6,-1,0.3,0.33,-1,0.5,-1,2.8,3.35,2.5,1,3.45,1.05,0,1.8,0,0,0,2.89,2.04,2.2,0.8,2.9,3,0.86,0,1.1215321377617664,-0.402397274,202062
Incierto,NHLF40953380291545,202264,CUENCA,SIERRA-SUR,LA TRONCAL,202062,4,NUEVO,CURSOS INSCRITOS,100,20,0,20,HOMBRE,NO,0,0,8.76,9.34,9.17,9.17,-1,-1,9.09,8.96,9.33,8.75,-1,-1,2.26,3.06,2.97,3,-1,-1,2.63,2.81,2.83,2.25,-1,-1,3.5,3.43,3.5,3.5,-1,-1,3.3,3.5,3.5,-1,-1,3,2.85,2.7,2.67,-1,-1,2.85,3,-0.085522068,-0.64359491,202062
Bueno,SSGL21419296351632,202062,CUENCA,SIERRA-SUR,CUENCA,202062,2,CONTINUO,CURSOS INSCRITOS,40,20,127.5,20,HOMBRE,NO,0,0,8.78,9.88,8.7,9.12,9.69,9.33,9.06,9.69,8.57,8.77,9.36,9.5,2.28,3.38,2.5,3.08,3.19,3,2.56,3.19,2.67,2.67,3.06,3,3.5,3.5,3.5,3.5,3.5,3.33,3.5,2.9,3.5,3.3,3.5,3,3,2.7,2.54,3,3,3,2.6,-2.206355331,0.2238801829111575,202062
Bueno,EFIR84799861824990,202264,QUITO,SIERRA-CEN,RIOBAMBA,202062,3,CONTINUO,CURSOS CADUCADOS,40,20,127.5,30,HOMBRE,NO,0,0,9.31,9.88,9.5,9.92,9.51,9.5,7.93,9.56,9.52,9.83,9.88,9.86,2.81,3.38,3,3.42,3.06,3,2.93,3.06,3.42,3.33,3.38,3.36,3.5,3.5,3.5,3.5,3.45,3.5,3.5,3.1,3.5,3.5,3.5,3,3,3,3,3,3,3,3,-2.413095567,0.3051441226208098,202062
Bueno,NBSQ61015605273512,202264,LOJA,SUR,ZARUMA,202062,1,NUEVO,CURSOS INSCRITOS,30,20,148.74,34,MUJER,NO,0,0,7.55,9.14,5.14,6.48,8.94,8.55,7.39,8.75,8.37,3.82,9.2,8.52,1.86,2.89,1.9,2.48,2.44,2.46,1.86,2.64,2.22,1.92,2.75,2.14,2.8,3.5,0.4,3,3.5,3.09,3.3,3.15,0.9,3.45,3.38,2.89,2.75,2.84,1,3,3,2.81,1,-1.283095865,-0.009419186,202062
Bueno,QCPM92321288026325,202264,LOJA,SUR,ZARUMA,202062,3,CONTINUO,CURSOS CADUCADOS,10,100,78.35,35,HOMBRE,NO,0,0,8.53,7.75,8.93,9.25,9.58,8.87,9.27,9.26,9.37,9.25,7.19,9.22,2.43,3.25,2.75,3.25,3.08,2.61,2.81,3.06,3.17,2.75,2.69,2.81,3.1,1.5,3.2,3,3.5,3.26,3.2,3.2,3.5,3.5,3.41,3,3,2.98,3,3,3,3,3,-2.049070136,0.308889009,202062
Bueno,LKHZ38676927283374,202264,GUAYAQUIL,GRAN-GYE,GUAYAQUIL - GUASMO,202062,4,CONTINUO,CURSOS INSCRITOS,10,20,197.36,28,HOMBRE,NO,0,0,8.69,9.44,8.86,8.83,9.06,9.38,8.88,9.38,9.52,8.58,9.56,8.71,2.19,2.94,2.83,2.83,2.56,2.88,2.38,2.88,3.17,2.08,3.06,2.5,3.5,3.5,3.13,3,3.5,3.5,3.5,3.35,3.5,3.5,3.21,3,3,2.9,3,3,3,3,3,-2.160019618,0.20186682791188693,202062
Bueno,SBDP10724086143148,202062,CUENCA,SIERRA-SUR,CUENCA,202062,3,CONTINUO,CURSOS INSCRITOS,10,20,121.89,30,HOMBRE,NO,0,0,8.4,9.35,8.6,7.82,9.81,9.71,5.8,9.69,6.19,5.17,7.94,8.79,2.5,3,3,2.92,3.31,3.38,2.45,3.19,2.89,3.17,3.44,3.17,2.9,3.5,2.6,3.5,3.5,3.33,3.5,3.3,1,3.5,2.62,3,2.85,3,1.4,3,3,3,1,-1.785424194,0.4473028660383833,202062
Regular,CPNC39817064769170,202264,ITALIA,ROMA,ROMA,202062,1,NUEVO,CURSOS INSCRITOS,0,20,363.53,31,MUJER,NO,0,0,4.21,4.9,5.68,7.83,7.76,8.17,2.53,5.95,2.93,3.83,3.45,6.91,1.86,2.55,1.88,2.58,1.61,2.06,0.9,0.95,0.93,1.83,0.5,0.71,1.6,1.2,1.6,2.25,3.15,3.15,3.5,2,1,1.95,3.33,0.75,1.15,2.2,3,3,2.96,1.5,1,-0.141999433,-0.34400418,202062
Bueno,OOPP24629908818201,202264,GUAYAQUIL,COSTA-INS,BABAHOYO,202062,4,CONTINUO,CURSOS INSCRITOS,8,20,213.4,29,HOMBRE,NO,0,0,9.34,9.66,9.26,9.5,9.15,8.98,9.06,9.49,9.53,9.83,9.44,9.23,2.84,3.31,2.83,3,2.75,2.48,2.94,3.19,3.33,3.33,2.94,2.73,3.5,3.5,3.43,3.5,3.5,3.5,3.3,3.2,3.5,3.5,3.5,3,2.85,3,3,2.9,3,3,3,-2.327972536,0.24091426045676026,202062
Bueno,QVHO97327182866631,202062,SANTO DOMINGO,COSTA-NOR,QUEVEDO,202062,2,CONTINUO,CURSOS INSCRITOS,30,20,91.61,30,HOMBRE,NO,0,0,8.26,9.65,8.62,9.14,9.18,9.01,7.1,9.12,9.33,7.25,7.44,8.24,2.16,3.25,2.57,2.97,2.73,2.79,2.48,3.06,2.83,2.75,2.94,2.21,3.1,3.4,3.35,3.4,3.45,3.22,3.1,3.5,3.5,3.5,3.03,3,3,2.7,2.77,3,3,2.96,1,-1.924626918,0.2104360818099953,202062
Critico,EKFU88385981483543,202064,CUENCA,SIERRA-SUR,MACAS,202062,1,NUEVO,CURSOS INSCRITOS,10,20,185.5,32,HOMBRE,NO,0,0,5.1,4.96,4.43,1.87,3.95,4.64,0,0,0,0,0,0,0.8,0.9,0.93,0.97,1,0.88,-1,-1,-1,-1,-1,-1,2.8,1.35,3.5,0,1.95,1.05,0,0,0,0,0,1.5,2.71,0,0.9,1,2.71,-1,0,1.7548989164766282,-0.734068639,202062
Regular,CVHF04249318796128,202264,QUITO,METROPOLIT,QUITO-CALDERON,202062,1,NUEVO,CURSOS INSCRITOS,60,20,0,21,MUJER,NO,0,0,2.05,5.01,1.89,3.89,4,1.71,2.14,3.69,2.08,3.12,3.56,7.03,1.3,2.06,1.89,1.89,1.5,1.71,2.14,2.44,2.08,1.92,2.06,1.77,0,0,0,1,1.5,0,0,0,1,1.5,2.54,0.75,2.95,-1,1,1,-1,1.25,0.2,0.9729156726197741,-0.054595014,202062
Bueno,GIXE82944276544364,202264,QUITO,METROPOLIT,QUITO-TUMBACO,202062,2,CONTINUO,CURSOS INSCRITOS,60,20,85.92,21,HOMBRE,NO,0,0,8.28,8.86,8.39,9.15,9.59,8.5,7.03,9.16,8.4,6.27,8.69,7.11,2.29,2.9,2.12,2.85,3.09,2.09,2.14,2.88,2.25,2.08,2.19,1.62,3.1,3.31,3.43,3.5,3.5,3.5,3.35,3.15,3.19,3.5,2.49,2.89,2.65,2.84,2.8,3,2.91,2.93,1,-1.734400567,0.15209190630287023,202062
Regular,HIUA04221512683206,202264,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,50,20,0,24,HOMBRE,NO,0,0,7.21,7.98,8.12,6.82,8.65,8.2,4.52,5.02,3.88,1.25,5.95,3.99,1.48,2.74,2.27,1.95,2.2,1.7,1.06,2.59,2.08,1.25,1.45,1.19,2.8,3.28,3.1,2.5,3.45,3.5,1.5,1.8,0,3.5,2.8,2.93,1.96,2.75,2.37,3,3,0.93,0,-0.471007694,-0.151278936,202062
Regular,MSIT59887228544957,202062,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,10,20,185.5,22,HOMBRE,NO,0,0,6.71,7.69,6.62,4.05,6.84,8.54,0,0,0,0,0,0,2.08,3.14,2.22,2.05,2.44,2.21,-1,-1,-1,-1,-1,-1,3.2,3.5,3.5,1,3.4,3.33,0,0,0,0,0,1.43,1.05,0.9,1,1,3,-1,0,1.1376766146169428,-0.626909631,202062
Regular,GMLG76094199281324,202262,QUITO,METROPOLIT,QUITO-CARCELEN,202062,1,NUEVO,CURSOS INSCRITOS,100,20,0,29,MUJER,NO,0,0,5.05,4.98,5.61,1.53,6.75,3.32,0,0,0,0,0,0,0.45,0.5,0.67,0.53,0.25,0.62,-1,-1,-1,-1,-1,-1,3.1,1.5,2,1,3.5,1.75,0,0,0,0,0,1.5,2.98,2.94,0,3,0.95,-1,0,1.6803188118538654,-0.606401536,202062
Critico,YFVP52900829596466,202264,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,0,20,206.12,19,HOMBRE,NO,0,0,0.3,2,0.3,0,0,0,0,0,0,0,0,0,0.3,0.5,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-1,0,-1,-1,-1,0,2.810662646776519,-1.12957929,202062
Regular,QUQO79420363128500,202162,QUITO,METROPOLIT,QUITO-CARCELEN,202062,1,CONTINUO,CURSOS INSCRITOS,60,20,111.81,21,HOMBRE,NO,0,0,3.11,4.38,5.07,4.27,7.55,7.19,3.76,5.34,3.23,3.68,4.76,7.63,1.91,1.91,2.09,1.87,2.05,2.26,1.66,2.51,2.63,1.75,1.96,1.54,1.2,1.35,1.7,0,3.3,2.54,1.35,0.6,0.83,1.8,3.09,0,1.12,1.28,2.4,2.2,2.39,1.48,1.1,0.003137053,0.1743244684102605,202062
Bueno,ZUKX11165349358229,202264,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,2,CONTINUO,CURSOS RETIRADOS,18,20,37.93,19,MUJER,NO,0,0,9.29,9.45,8.37,9.53,9.55,9.15,9.11,9.75,9.39,9.32,9.43,8.71,2.79,3.01,2.3,3.23,3.05,2.82,2.61,3.5,2.89,2.92,2.93,2.6,3.5,3.5,3.07,3.5,3.5,3.33,3.5,3.5,3.5,3.5,3.33,3,2.94,3,2.8,3,3,2.75,2.9,-2.232547891,0.31486555455410364,202062
Critico,QAZK20487637414812,202164,QUITO,METROPOLIT,QUITO-CARCELEN,202062,1,NUEVO,CURSOS INSCRITOS,0,20,206.12,25,HOMBRE,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,2.9386890055107853,-1.367859707,202062
Bueno,PSBI18408273634125,202264,QUITO,METROPOLIT,QUITO,202062,2,CONTINUO,CURSOS INSCRITOS,8,20,63.21,19,HOMBRE,NO,0,0,8.14,9.3,7.93,9.33,9.64,9.19,8.38,9.48,9.35,9.42,9.56,9.44,2.34,3.01,2.39,2.83,3.14,2.86,2.18,3.13,2.85,2.92,3.06,2.94,2.8,3.35,2.7,3.5,3.5,3.33,3.5,3.5,3.5,3.5,3.5,3,2.94,2.84,3,3,3,2.85,3,-2.158265498,0.20160649921890908,202062
Bueno,FLUV86820724110578,202264,QUITO,METROPOLIT,QUITO,202062,2,CONTINUO,CURSOS INSCRITOS,10,20,100.28,19,HOMBRE,NO,0,0,6.48,9.28,6.4,8.59,7.1,8.64,6.05,7.32,8.25,6.6,8.85,8,2.73,2.99,2.6,2.77,2.6,2.49,2.15,2.86,2.75,2.81,2.75,2.43,1.05,3.5,2,3.25,1.5,3.39,1.5,2.5,2.99,3.1,2.85,2.7,2.79,1.8,2.57,3,2.76,2.96,0.8,-1.339922301,0.3241567080681908,202062
Bueno,LOAY48481312378313,202264,QUITO,METROPOLIT,QUITO,202062,1,CONTINUO,CURSOS CADUCADOS,60,20,0,18,HOMBRE,NO,0,0,6.26,9.38,6.26,6.73,8.14,9.53,3.4,7.94,2.97,4.67,9.69,9.16,2.26,2.88,2.66,2.73,3.44,3.03,2.05,2.94,2.97,2.67,3.39,2.79,2.8,3.5,2,3,1.8,3.5,3.5,0,1,3.3,3.5,1.2,3,1.6,1,2.9,3,1.5,1,-1.155553766,0.38106955320971153,202062
Bueno,SURS29595749180168,202264,GUAYAQUIL,COSTA-INS,GUAYAQUIL - SAMANES,202062,1,NUEVO,CURSOS INSCRITOS,100,20,0,22,MUJER,NO,0,0,2.5,5.95,8.17,4.92,8.41,8.91,8.08,9.75,8.65,4.5,9.05,7.8,0.5,0.95,2.37,2.92,2.46,2.41,2.03,3.25,2.75,2.5,2.75,1.94,2,2,3.5,1,3.35,3.5,3.5,3.5,1,3.3,2.86,0,3,2.3,1,2.6,3,3,1,-1.107557716,-0.29191236,202062
Bueno,OWXA49200279157158,202264,QUITO,METROPOLIT,QUITO-TURUBAMBA,202062,4,CONTINUO,CURSOS INSCRITOS,60,20,0,33,HOMBRE,NO,0,0,8.79,9.75,8.77,9.3,9.1,9.29,9.06,9.62,9.25,8.97,9.63,9.04,2.44,3.25,2.47,3,3,2.79,2.56,3.19,2.75,2.92,3.13,2.54,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.25,3.5,3.5,2.85,3,2.8,2.8,2.6,3,2.93,2.8,-2.237968881,0.1827949184313059,202062
Regular,SAKW44481636699234,202262,GUAYAQUIL,COSTA-INS,SALINAS,202062,1,CONTINUO,CURSOS INSCRITOS,50,20,0,22,HOMBRE,NO,0,0,5.28,7.44,4.89,5.08,4.98,7.13,2.03,4.44,2.58,3.53,5.16,7.02,1.83,2.94,2.19,2.58,2.58,2.38,2.03,2.94,2.58,1.63,2.56,1.68,3,1.5,2,1.5,1.4,1.75,0,0,1,1.6,3.09,0.45,3,0.7,1,1,3,1.5,0.9,-0.009236795,0.27444566817755267,202062
Bueno,YDBG81584649382927,202262,LOJA,SUR,LOJA,201964,4,CONTINUO,CURSOS INSCRITOS,40,20,127.5,38,HOMBRE,NO,0,0,7.64,9.19,8.82,7.51,7.91,8.7,5.65,6.59,7.45,6.83,8.69,7.31,2.39,2.9,2.62,2.97,2.01,2.2,0.65,0.85,2.85,0.73,2.49,2.19,2.85,3.5,3.5,2.75,3.15,3.5,3.5,1.6,3.4,3.2,2.45,2.4,2.79,2.7,1.79,2.75,3,2.24,2.7,-1.435348437,-0.037409932,201964
Bueno,QPHT89894446794118,202264,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,2,CONTINUO,CURSOS INSCRITOS,18,20,185.5,25,HOMBRE,NO,0,0,7.5,9.66,9.25,9.42,9.5,8.86,7.33,9.94,8.95,9.08,9.81,8.7,1,3.31,2.75,2.92,3,2.88,2.63,3.44,2.75,2.58,3.31,2.72,3.5,3.5,3.5,3.5,3.5,2.98,3.5,3.5,3.5,3.5,2.98,3,2.85,3,3,3,3,3,3,-2.179791854,0.16110362086278832,202062
Bueno,UALT26680308779372,202264,QUITO,METROPOLIT,QUITO-TURUBAMBA,202164,3,CONTINUO,CURSOS INSCRITOS,0,20,195.33,27,HOMBRE,NO,0,0,7.38,9.48,9.25,9.43,9.06,9.61,8.61,9.84,8.34,9.25,7.36,8.97,2.03,3.19,3.05,2.93,2.56,3.11,2.41,3.34,3.14,2.75,0.9,2.59,3.1,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.46,3.38,2.25,2.79,2.7,3,3,3,3,3,-2.063951921,0.049655382604669784,202164
Bueno,LSTI60433747180822,202162,GUAYAQUIL,COSTA-CEN,MANTA,202062,1,CONTINUO,CURSOS CADUCADOS,10,20,185.5,27,HOMBRE,NO,0,0,7.76,9.63,8.12,6.52,7.43,8.75,4.93,5.81,3.9,3.17,6.46,4.34,1.96,3.13,2.42,2.33,2.38,2.25,1.73,2.81,2.5,2.17,2.81,1.47,3.1,3.5,3.2,2.5,3.15,3.5,1.5,1.4,0,2.65,0,2.7,3,2.5,1.69,1.9,3,1.5,1,-0.773262273,0.3147861391393292,202062
Bueno,ODZD95496079711134,202062,CUENCA,SIERRA-SUR,CUENCA,201964,3,CONTINUO,CURSOS CADUCADOS,10,20,115.99,25,HOMBRE,NO,0,0,4.75,9.56,6.59,9.17,8.75,8.87,0,7.25,7.45,5.19,8.94,8.68,1.75,3.06,2.39,2.67,2.25,2.47,-1,2.75,2.6,1.67,2.44,2.77,1.5,3.5,2,3.5,3.5,3.5,1.5,2,2.5,3.5,2.91,1.5,3,2.2,3,3,2.9,3,1.02,-1.18936192,0.082518885,201964
Bueno,JJLQ79666604715093,202264,CUENCA,SIERRA-SUR,CUENCA,202062,2,CONTINUO,CURSOS CADUCADOS,10,20,185.5,30,HOMBRE,NO,0,0,7.7,9.46,9.64,9.29,9.51,8.8,8.55,9.46,8.67,9.38,9.75,9.18,2.35,2.96,3.14,2.79,3.21,2.3,2.5,3.25,2.97,2.88,3.25,2.68,2.8,3.5,3.5,3.5,3.5,3.5,3.5,2.7,3.5,3.5,3.5,2.55,3,3,3,2.8,3,2.71,3,-2.177444488,0.16195515961914056,202062
Bueno,FXHN68665291560591,202264,CUENCA,SIERRA-SUR,CUENCA,202062,3,CONTINUO,CURSOS INSCRITOS,10,20,154.4,29,MUJER,NO,0,0,8.08,9.76,9.15,8.97,9.44,8.43,7.64,9.75,7.9,9,9.29,9.71,2.28,3.26,2.85,2.47,2.94,1.93,3.09,3.25,3,2.5,3.19,3.21,2.8,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.1,3.5,3,3,2.8,3,3,3,3,3,-2.142409761,0.2907230978566102,202062
Bueno,VNIP90726634330090,202062,QUITO,METROPOLIT,RIOBAMBA,202062,3,CONTINUO,CURSOS INSCRITOS,10,20,92.16,19,HOMBRE,NO,0,0,7.38,9.63,6.55,8.99,7.76,7.37,8.38,9.2,9.1,7.1,8.73,8.26,2.28,3.13,2.05,2.83,2.26,2.86,2.33,2.95,2.8,2.6,2.88,2.46,2.85,3.5,3.5,3.25,3.2,1.51,3.5,3.3,3.5,3.25,2.8,2.25,3,1,2.91,2.3,3,2.75,1,-1.68753078,0.17092029369506787,202062
Bueno,TBHB54056343541839,202264,QUITO,SIERRA-CEN,RIOBAMBA,202062,4,CONTINUO,CURSOS INSCRITOS,100,20,0,23,MUJER,NO,0,0,9.19,9.81,8.83,9.58,9.11,9,8.41,9.2,9.42,9.45,9.56,8.76,2.69,3.31,2.33,3.08,2.81,2.5,2.06,3.06,2.92,3.17,3.06,2.43,3.5,3.5,3.5,3.5,3.3,3.5,3.5,3.5,3.38,3.5,3.33,3,3,3,3,3,3,2.64,2.9,-2.209425515,0.30215032342230547,202062
Bueno,FRRU86749893914314,202164,GUAYAQUIL,COSTA-INS,SALINAS,202062,4,CONTINUO,CURSOS INSCRITOS,10,20,208.76,29,HOMBRE,NO,0,0,7.31,8.95,8.7,8.15,7.63,7,8.14,9.18,8.13,8.24,8.35,7.13,1.66,2.66,2.4,2.5,2.13,1.39,1.79,2.68,2.83,2.1,2.5,1.25,2.8,3.5,3.5,2.75,2.9,3.15,3.5,2.3,3.5,3.45,3.15,2.85,2.79,2.8,2.9,2.6,2.46,3,2.64,-1.674591727,0.023275815055470342,202062
Bueno,ZIJL13513530446548,202062,LOJA,SUR,SARAGURO,202062,4,CONTINUO,CURSOS INSCRITOS,18,20,123.67,22,HOMBRE,NO,0,0,8.98,9.63,8.92,9.65,8.93,8.94,9.23,9.5,9.17,9.19,9.63,9.08,2.63,3.13,2.72,3.25,2.63,2.68,2.88,3,2.67,3,3.13,2.58,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.19,3.5,3.5,2.85,3,2.7,2.9,2.8,2.76,3,3,-2.255666567,0.19383867477808361,202062
Bueno,TAVJ74417254419446,202062,CUENCA,SIERRA-SUR,MACAS,202062,4,CONTINUO,CURSOS INSCRITOS,0,20,86.19,29,HOMBRE,NO,0,0,6.13,9.18,7.52,8.11,6.78,7.85,8.06,7.29,8.72,5.7,8.88,8.89,2.28,3.28,2.72,3.23,2.43,2.96,2.21,2.86,2.82,2.95,2.48,2.71,3.1,3.5,2,3.2,1.35,3.37,3.5,3.5,2.15,3.4,3.5,0.75,2.4,2.8,1.68,3,1.52,0.93,0.6,-1.427215828,0.14988512117750968,202062
Critico,SZSB80269023860557,202064,QUITO,SIERRA-CEN,PUYO,202062,1,NUEVO,CURSOS RETIRADOS,20,20,169.99,18,HOMBRE,SI,30,1,0.35,0.45,0.23,0.43,0,0,0,0,0,0.23,0,0,0.35,0.45,0.23,0.2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.13,0,0,0,0,0.13,0,0,0,-1,-1,0.1,0,-1,-1,0.1,2.8130231011934574,-1.138876323,202062
Critico,FNJS07157126485184,202264,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,1,NUEVO,CURSOS INSCRITOS,10,20,123.67,37,HOMBRE,NO,0,0,1.4,0,2.67,0.56,0.3,1.5,0,0,0,0.23,0,0,0.35,-1,0.67,0.33,0.3,0.6,-1,-1,-1,-1,-1,-1,1.05,0,0,0.13,0,0,0,0,0.13,0,0,0,-1,2,0.1,-1,0.9,-1,0.1,2.594560533871479,-1.050952158,202062
Bueno,DVTO15346945897880,202262,QUITO,METROPOLIT,QUITO-SAN RAFAEL,202062,2,CONTINUO,CURSOS INSCRITOS,0,20,60.17,20,HOMBRE,NO,0,0,7.6,9.63,8.3,9,8.77,9.27,8.49,9.05,8.54,8.16,9.27,8.52,2.35,3.13,2,3,2.4,2.77,2.44,2.88,2.64,1.97,2.81,2.14,3.15,3.5,3.5,3,3.4,3.5,3.5,2.9,3.19,3.5,3.38,2.1,3,2.8,3,2.97,3,2.67,3,-1.967113541,0.080935911,202062
Critico,SMLP95135493332872,202264,QUITO,METROPOLIT,QUITO-CALDERON,202062,1,NUEVO,CURSOS INSCRITOS,40,20,127.5,21,MUJER,NO,0,0,0,0,0,0.23,1.6,0,0,0,0,0.23,0,0,-1,-1,-1,-1,0.25,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.13,1.35,0,0,0,0.13,0,0,0,-1,0,0.1,-1,-1,-1,0.1,2.8251875708381116,-1.253243735,202062
Regular,NMCW10193087918431,202262,GUAYAQUIL,COSTA-INS,SALINAS,202062,1,CONTINUO,CURSOS CADUCADOS,0,20,206.12,29,HOMBRE,NO,0,0,8.28,9.75,5.33,9.5,5.15,7.88,0.45,3.5,2.47,0,2.1,0.54,2.28,3.25,2.93,3,2.65,3.13,0.45,0.5,0.67,-1,0.5,0.54,3.3,3.5,2,3.5,1.5,1.75,1.5,1.8,0,1.6,0,2.7,3,0.4,3,1,3,1.5,0,0.21938054539040633,0.16999780249362306,202062
Bueno,DLDC74579341007662,202164,GUAYAQUIL,COSTA-CEN,MANTA,202062,4,CONTINUO,CURSOS INSCRITOS,50,20,0,18,HOMBRE,NO,0,0,8.13,9.53,7.94,8.73,8.88,9.5,8.31,9.25,9.6,8.97,9.56,9.53,2.53,3.03,2.64,2.43,2.38,3.1,2.11,2.75,3.1,2.92,3.06,3.38,3.35,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.15,3.5,3.15,2.25,3,1.8,2.8,3,2.9,3,2.9,-2.146324877,0.11992658450761468,202062
Bueno,MSVF31365947819122,202162,ESTADOS UNIDOS,NEW YORK,NEW YORK,202062,1,NUEVO,CURSOS INSCRITOS,0,20,137.41,21,HOMBRE,NO,0,0,7.65,9.81,8.76,9.16,9.04,9.03,8.63,8.94,8.86,8.81,9.33,9.2,2.3,3.31,2.76,2.87,2.96,2.78,2.13,3.26,3.26,2.83,2.83,3.19,3.1,3.5,3.5,3.39,3.08,3.5,3.5,2.9,3.38,3.5,3.5,2.25,3,2.5,2.9,3,2.75,2.18,2.6,-1.995283886,-0.215069559,202062
Bueno,UYUT52546225633698,202264,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202062,2,CONTINUO,CURSOS INSCRITOS,40,20,111.66,18,HOMBRE,NO,0,0,8.74,9.51,8.98,9.25,8.44,8.58,8.76,9.44,8.33,7.74,9.64,8.97,2.59,3.01,2.68,2.75,2.44,2.08,2.56,2.94,2.83,2.5,3.19,2.47,3.3,3.5,3.5,3.5,3.5,3.5,3.5,2.5,2.56,3.45,3.5,2.85,3,2.8,3,2.5,3,3,2.68,-2.037740104,0.16164822437584878,202062
