ciclo_academico,tipo_de_est_programa,estatus_cursos,porcentaje_de_beca,porcentaje_des_matricula,monto_descuento_automatico,edad,sexo,discapacidad,porcentaje_de_discapacidades,numero_discapacidades,bim1_nota_metodologia_de_la_invest_y_tec,bim1_nota_computacion_y_sociedad,bim1_nota_fundamentos_de_tecnologias,bim1_nota_algoritmos_y_resolucion_de_pro,"bim1_nota_humanismo,_universidad_y_cultu",bim1_nota_fundamentos_matematicos,bim2_nota_metodologia_de_la_invest_y_tec,bim2_nota_computacion_y_sociedad,bim2_nota_fundamentos_de_tecnologias,bim2_nota_algoritmos_y_resolucion_de_pro,"bim2_nota_humanismo,_universidad_y_cultu",bim2_nota_fundamentos_matematicos,aab1_nota_metodologia_de_la_invest_y_tec,aab1_nota_computacion_y_sociedad,aab1_nota_fundamentos_de_tecnologias,aab1_nota_algoritmos_y_resolucion_de_pro,"aab1_nota_humanismo,_universidad_y_cultu",aab1_nota_fundamentos_matematicos,aab2_nota_metodologia_de_la_invest_y_tec,aab2_nota_computacion_y_sociedad,aab2_nota_fundamentos_de_tecnologias,aab2_nota_algoritmos_y_resolucion_de_pro,"aab2_nota_humanismo,_universidad_y_cultu",aab2_nota_fundamentos_matematicos,acdb1_nota_metodologia_de_la_invest_y_tec,acdb1_nota_computacion_y_sociedad,acdb1_nota_fundamentos_de_tecnologias,acdb1_nota_algoritmos_y_resolucion_de_pro,"acdb1_nota_humanismo,_universidad_y_cultu",acdb1_nota_fundamentos_matematicos,acdb2_nota_computacion_y_sociedad,acdb2_nota_fundamentos_de_tecnologias,acdb2_nota_algoritmos_y_resolucion_de_pro,"acdb2_nota_humanismo,_universidad_y_cultu",acdb2_nota_fundamentos_matematicos,apeb1_nota_metodologia_de_la_invest_y_tec,apeb1_nota_computacion_y_sociedad,apeb1_nota_fundamentos_de_tecnologias,apeb1_nota_algoritmos_y_resolucion_de_pro,"apeb1_nota_humanismo,_universidad_y_cultu",apeb1_nota_fundamentos_matematicos,apeb2_nota_computacion_y_sociedad,apeb2_nota_algoritmos_y_resolucion_de_pro,cluster,Componente_1,Componente_2
5,CONTINUO,CURSOS INSCRITOS,50,20,0.0,30,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.21,3.19,2.7,3.0,2.78,3.07,1.0,1.0,1.0,1.0,1.0,0.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.47,3.5,3.5,3.33,-1.0,-1.0,Regular,2.409270557624302,1.828413272055657
5,CONTINUO,CURSOS INSCRITOS,8,20,134.78,36,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.55,3.01,2.57,3.23,2.79,2.17,0.65,1.0,0.87,1.0,0.95,0.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.35,3.5,3.5,3.5,3.33,-1.0,-1.0,Regular,2.4315390799685996,1.765702709350114
4,CONTINUO,CURSOS INSCRITOS,8,100,166.86,35,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.45,3.28,2.83,3.04,2.44,2.56,0.6,0.95,0.9,0.85,0.85,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.43,2.0,3.0,3.25,3.5,3.33,-1.0,-1.0,Regular,2.4823088678470246,1.6607897778277874
5,CONTINUO,CURSOS INSCRITOS,10,20,131.85,24,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.98,3.13,2.73,2.23,2.69,2.95,0.9,1.0,0.97,1.0,1.0,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.43,2.88,3.1,3.4,3.0,3.48,-1.0,-1.0,Regular,2.459201524007849,1.7041950732901103
5,CONTINUO,CURSOS INSCRITOS,100,20,0.0,21,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.64,3.13,2.77,3.08,3.44,2.02,0.8,1.0,1.0,1.0,1.0,0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.3,3.46,3.5,3.25,3.5,-1.0,-1.0,Regular,2.42353904923091,1.9314298034990176
4,CONTINUO,CURSOS INSCRITOS,100,20,0.0,20,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.6,3.19,2.8,3.06,2.84,3.0,0.9,1.0,1.0,1.0,1.0,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,2.88,3.43,3.5,3.5,3.5,-1.0,-1.0,Regular,2.41545023248498,1.8357033204394269
5,CONTINUO,CURSOS INSCRITOS,8,20,126.51,27,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.99,3.08,2.27,2.74,2.84,3.0,0.7,1.0,1.0,0.95,0.95,0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.3,3.0,3.0,3.5,-1.0,-1.0,Regular,2.453066613442164,1.7264357677111615
5,CONTINUO,CURSOS INSCRITOS,8,20,213.4,20,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.66,3.26,2.63,3.25,2.59,2.79,0.9,0.95,1.0,0.9,1.0,0.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.46,3.5,3.5,3.33,-1.0,-1.0,Regular,2.411242967021487,1.9232298321428944
4,CONTINUO,CURSOS INSCRITOS,10,20,107.39,21,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.08,3.05,2.3,2.13,3.01,2.85,0.95,0.9,1.0,0.85,1.0,0.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,3.43,2.89,3.5,3.25,2.68,-1.0,-1.0,Regular,2.4882359280150532,1.7429971879496988
2,CONTINUO,CURSOS INSCRITOS,8,20,189.63,19,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.33,3.14,2.8,3.5,3.31,2.96,0.95,1.0,1.0,1.0,1.0,0.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5,3.5,3.5,-1.0,-1.0,Regular,2.39815576173742,1.8260643926188187
5,CONTINUO,CURSOS INSCRITOS,18,20,161.73,21,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.79,3.5,2.97,3.19,2.85,3.0,0.8,1.0,1.0,1.0,1.0,0.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.43,3.5,3.5,3.5,-1.0,-1.0,Regular,2.385631606604499,1.9033689676158057
4,CONTINUO,CURSOS INSCRITOS,10,20,123.76,18,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.73,3.25,2.6,2.72,2.81,2.62,0.85,0.9,1.0,0.9,0.9,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.33,2.95,1.5,3.5,3.34,3.4,-1.0,-1.0,Regular,2.477053672774305,1.6848106589163976
3,CONTINUO,CURSOS INSCRITOS,10,100,56.06,27,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.69,3.19,3.07,3.17,3.5,2.86,0.95,0.95,1.0,1.0,1.0,0.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.43,1.35,1.9,2.5,3.5,3.5,-1.0,-1.0,Regular,2.476531690716995,1.6562535643433296
3,CONTINUO,CURSOS CADUCADOS,100,100,0.0,31,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.09,2.69,1.47,1.87,2.56,1.8,1.0,1.0,0.97,1.0,1.0,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.43,2.45,2.69,3.5,2.63,3.5,-1.0,-1.0,Regular,2.55289490066468,1.601721208246048
5,CONTINUO,CURSOS INSCRITOS,18,20,192.06,21,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.53,2.94,2.17,3.25,3.06,2.69,1.0,1.0,1.0,1.0,1.0,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.08,3.35,2.5,3.5,3.03,-1.0,-1.0,Regular,2.442565968962155,1.765100129512131
5,CONTINUO,CURSOS INSCRITOS,5,20,120.34,25,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.19,3.2,2.67,2.83,2.78,2.98,0.8,0.9,1.0,0.88,1.0,0.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8,3.43,2.0,3.5,1.25,3.33,-1.0,-1.0,Regular,2.5056003166363867,1.5682492331149314
2,CONTINUO,CURSOS INSCRITOS,40,20,137.41,42,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.33,2.95,2.63,2.67,2.2,1.89,2.28,0.9,0.97,2.1,0.95,0.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.66,3.5,3.3,2.7,3.25,3.5,-1.0,-1.0,Regular,2.433656323867177,1.5954175007559483
2,CONTINUO,CURSOS INSCRITOS,5,20,195.81,28,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.79,3.38,3.3,3.24,3.19,2.66,1.0,1.0,1.0,1.0,1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5,3.5,2.95,-1.0,-1.0,Regular,2.399333888029071,1.805837188030953
3,CONTINUO,CURSOS INSCRITOS,10,20,87.9,38,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.91,3.38,2.63,2.55,2.33,2.38,-1.0,0.8,0.93,2.38,0.85,0.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,2.0,1.8,2.7,3.5,3.0,-1.0,-1.0,Regular,2.5571957694821528,1.4034611135814832
5,CONTINUO,CURSOS INSCRITOS,8,20,157.66,22,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.56,3.19,2.87,2.94,2.98,2.59,0.9,0.9,0.97,0.95,1.0,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8,3.43,3.1,3.45,2.75,3.45,-1.0,-1.0,Regular,2.450548824018615,1.7407927630371436
3,CONTINUO,CURSOS INSCRITOS,5,20,114.51,20,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.16,3.06,1.77,2.82,3.01,2.39,1.0,1.0,1.0,0.95,1.0,0.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5,3.0,2.83,-1.0,-1.0,Regular,2.4697843903918035,1.7598008560046776
3,CONTINUO,CURSOS CADUCADOS,60,20,103.27,20,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,8.72,8.55,-1.0,-1.0,-1.0,-1.0,8.46,7.25,-1.0,2.03,3.0,1.93,2.42,2.25,2.59,1.0,0.95,1.0,2.12,2.75,0.82,-1.0,-1.0,-1.0,3.5,3.5,-1.0,-1.0,-1.0,3.44,1.5,-1.0,3.1,3.5,3.5,2.8,2.8,3.5,-1.0,2.9,Regular,1.0086175022060064,1.065911955674464
3,CONTINUO,CURSOS INSCRITOS,40,100,152.73,23,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8,3.31,2.93,3.41,3.07,3.0,0.75,1.0,0.67,0.9,1.0,0.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,3.5,3.15,3.0,3.5,3.5,-1.0,-1.0,Regular,2.4354303021983874,1.8257779032189327
5,CONTINUO,CURSOS INSCRITOS,10,20,175.8,36,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.74,3.14,2.68,3.0,2.38,2.31,0.95,1.0,0.97,1.0,1.0,0.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.33,3.43,3.2,2.75,3.5,3.33,-1.0,-1.0,Regular,2.453383998238816,1.6800476286948736
5,CONTINUO,CURSOS INSCRITOS,8,20,213.4,19,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.46,3.19,2.7,2.83,2.63,2.75,1.0,1.0,1.0,1.0,1.0,0.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,2.61,3.5,3.5,2.82,3.5,-1.0,-1.0,Regular,2.436766232945643,1.758332763153785
5,CONTINUO,CURSOS INSCRITOS,10,20,143.45,19,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,7.18,-1.0,-1.0,3.08,2.1,2.58,2.75,2.54,-1.0,1.0,1.0,0.95,2.88,0.82,-1.0,-1.0,-1.0,-1.0,3.35,-1.0,-1.0,-1.0,-1.0,3.3,-1.0,-1.0,3.5,3.1,3.5,3.0,3.5,-1.0,-1.0,Regular,1.9333581509479334,1.3114511447502881
1,CONTINUO,CURSOS INSCRITOS,0,20,111.81,41,HOMBRE,NO,0,0,0.35,4.67,-1.0,-1.0,1.25,1.2,0.0,0.0,-1.0,-1.0,0.0,0.0,0.35,0.4,-1.0,-1.0,-1.0,0.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,-1.0,-1.0,0.75,1.05,0.0,-1.0,-1.0,0.0,0.0,0.0,2.27,-1.0,-1.0,0.5,0.0,-1.0,-1.0,Critico,2.7297841390570547,-0.5997556825655642
5,CONTINUO,CURSOS INSCRITOS,10,20,77.12,32,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.34,3.0,2.83,3.42,2.94,2.36,1.0,1.0,1.0,1.0,0.95,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.43,3.43,3.5,3.5,3.13,3.15,-1.0,-1.0,Regular,2.4234444088328106,1.7740455404045545
3,CONTINUO,CURSOS INSCRITOS,100,20,0.0,19,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.39,2.44,2.0,2.5,2.51,2.75,0.95,1.0,1.0,0.95,0.95,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8,2.4,3.07,3.5,3.5,3.5,-1.0,-1.0,Regular,2.5070743692184627,1.6835484769855995
5,CONTINUO,CURSOS INSCRITOS,20,20,120.82,24,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.69,3.19,2.73,2.75,2.81,3.12,1.0,1.0,1.0,1.0,1.0,0.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8,3.5,3.5,3.45,3.5,3.5,-1.0,-1.0,Regular,2.411327137806164,1.823404889081743
2,CONTINUO,CURSOS INSCRITOS,100,20,0.0,28,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.04,2.59,2.53,2.23,1.94,1.3,1.0,0.9,0.9,0.83,1.0,0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.2,3.5,3.5,3.5,3.45,3.5,-1.0,-1.0,Regular,2.5520905386274446,1.5292720950236485
5,CONTINUO,CURSOS INSCRITOS,30,20,159.39,20,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.09,2.95,2.2,2.5,3.06,2.92,1.0,1.0,1.0,1.0,1.0,0.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.43,3.15,3.43,3.5,3.5,3.11,-1.0,-1.0,Regular,2.4427714393315747,1.780450295258938
4,CONTINUO,CURSOS INSCRITOS,100,20,62.47,21,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.4,3.25,2.1,2.5,3.38,2.24,1.0,1.0,1.0,1.0,1.0,0.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.35,2.98,3.5,3.5,3.28,-1.0,-1.0,Regular,2.445254260402856,1.8688389584268323
3,CONTINUO,CURSOS INSCRITOS,100,20,0.0,22,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.26,3.06,2.7,2.92,2.67,2.46,0.95,1.0,1.0,0.98,1.0,0.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.03,2.25,2.95,3.5,3.15,1.75,-1.0,-1.0,Regular,2.509581502535097,1.6519625296986304
3,CONTINUO,CURSOS INSCRITOS,100,20,0.0,23,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.1,3.06,2.03,2.57,3.0,2.31,1.0,1.0,1.0,1.0,1.0,0.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,2.95,3.1,3.5,3.0,3.5,-1.0,-1.0,Regular,2.475151701506933,1.755298518961939
4,CONTINUO,CURSOS INSCRITOS,18,20,70.95,44,HOMBRE,NO,0,0,9.06,9.81,-1.0,-1.0,9.31,-1.0,9.0,9.88,-1.0,-1.0,8.7,-1.0,2.56,3.31,3.2,3.03,2.81,2.45,2.5,3.38,1.0,1.0,3.25,0.96,3.5,3.5,-1.0,-1.0,3.5,-1.0,3.5,-1.0,-1.0,3.45,-1.0,3.0,3.0,3.35,3.0,3.0,3.5,3.0,-1.0,Incierto,0.18589216096436517,1.7333478243225875
4,CONTINUO,CURSOS INSCRITOS,50,20,151.97,24,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.21,3.06,2.47,2.42,3.25,2.45,1.0,1.0,1.0,1.0,0.95,0.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.1,3.5,3.5,3.4,-1.0,-1.0,Regular,2.4337631171681506,1.7840043520536863
3,CONTINUO,CURSOS CADUCADOS,8,20,126.42,35,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.66,3.0,2.5,3.06,3.19,2.66,0.85,1.0,0.93,0.93,1.0,0.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5,3.4,3.29,-1.0,-1.0,Regular,2.421592866368792,1.7716650649014092
5,NUEVO,CURSOS INSCRITOS,100,20,0.0,36,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.35,3.21,2.57,2.83,2.8,2.56,0.75,0.8,0.83,0.7,0.75,0.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,3.5,3.5,3.5,3.25,3.5,-1.0,-1.0,Regular,2.535480047238578,1.4209395971084482
5,CONTINUO,CURSOS INSCRITOS,0,20,195.33,30,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.68,3.29,2.8,2.44,2.75,3.06,0.6,0.9,0.87,0.9,0.95,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8,3.5,3.5,3.25,3.45,3.08,-1.0,-1.0,Regular,2.464031452916935,1.698494467815502
4,NUEVO,CURSOS INSCRITOS,10,20,62.83,28,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.8,2.88,2.3,2.39,2.16,2.11,0.8,0.95,0.9,0.8,0.9,0.79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5,3.5,3.33,-1.0,-1.0,Regular,2.567300882520215,1.3087733626287863
2,CONTINUO,CURSOS INSCRITOS,10,20,185.5,25,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.98,2.89,2.37,3.0,3.15,2.15,0.75,0.9,0.9,1.0,1.0,0.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,3.2,2.75,3.25,2.88,2.8,-1.0,-1.0,Regular,2.5113248192020445,1.6348851844807972
5,CONTINUO,CURSOS INSCRITOS,50,20,0.0,21,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.43,3.26,2.7,2.65,2.79,2.55,0.8,1.0,0.9,0.83,0.95,0.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.43,3.5,3.5,3.38,3.25,3.5,-1.0,-1.0,Regular,2.4436327607016897,1.8001840609940645
6,CONTINUO,CURSOS INSCRITOS,10,20,208.14,21,MUJER,NO,0,0,-1.0,-1.0,-1.0,9.12,-1.0,8.31,-1.0,-1.0,-1.0,8.76,-1.0,7.59,2.1,2.71,2.37,2.82,2.48,2.16,0.6,0.9,0.9,2.68,1.0,1.92,-1.0,-1.0,-1.0,3.5,-1.0,3.15,-1.0,-1.0,3.38,-1.0,2.8,3.1,3.5,3.5,2.8,3.5,3.0,-1.0,2.7,Incierto,1.0136988877078914,0.8458296117676969
2,CONTINUO,CURSOS INSCRITOS,15,20,176.23,20,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.14,3.08,2.87,2.95,2.94,2.39,0.8,1.0,0.93,0.8,1.0,0.79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5,3.5,3.46,-1.0,-1.0,Regular,2.447888222919985,1.8127164649368421
5,CONTINUO,CURSOS INSCRITOS,10,20,115.67,25,HOMBRE,NO,0,0,7.45,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,2.05,3.06,2.7,2.85,2.88,2.79,2.45,0.95,0.97,0.9,1.0,0.86,3.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.1,3.1,3.35,3.5,3.5,3.5,-1.0,-1.0,Regular,1.962982569554437,1.7318308995136598
5,CONTINUO,CURSOS INSCRITOS,60,20,0.0,20,HOMBRE,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.16,3.25,2.57,2.58,2.92,2.91,0.95,1.0,1.0,0.9,1.0,0.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.35,3.15,3.5,3.25,3.33,-1.0,-1.0,Regular,2.4376972602197213,1.7997485191931963
5,CONTINUO,CURSOS INSCRITOS,18,20,192.06,19,MUJER,NO,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.29,2.88,2.5,2.7,2.69,2.24,0.75,1.0,0.97,0.9,1.0,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,3.5,3.5,3.5,3.5,3.5,-1.0,-1.0,Regular,2.4472135251065152,1.8572873648016923
4,CONTINUO,CURSOS INSCRITOS,8,20,85.68,22,MUJER,NO,0,0,8.58,9.56,-1.0,-1.0,-1.0,-1.0,9.19,9.63,-1.0,-1.0,-1.0,-1.0,2.28,3.06,3.0,2.58,3.44,2.71,2.69,3.13,1.0,1.0,1.0,0.91,3.3,3.5,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.5,3.5,3.1,3.5,3.0,-1.0,Incierto,0.9717272891498341,1.822659454421257
